Date	        Open	High	Low	Close	Volume
3/9/2016	106.7	107.51	105.49	107.51	20424128
3/8/2016	104.78	107.37	104.4	105.93	25204666
3/7/2016	108.07	108.07	104.72	105.73	31241887
3/4/2016	110.05	110.05	107.93	108.39	24838094
3/3/2016	110.25	110.3	108.54	109.58	21227457
3/2/2016	109.68	110.55	108.77	109.95	25481667
3/1/2016	107.83	109.82	107.6	109.82	26607251
2/29/2016	107.6	108.9101	106.75	106.92	29853295
2/26/2016	108.7	109.45	107.16	107.92	26510031
2/25/2016	107.11	108.07	105.61	108.07	29734380
2/24/2016	104.21	106.95	102.74	106.88	33926204
2/23/2016	106.85	107.47	105.12	105.46	24880495
2/22/2016	105.49	108.25	105.34	107.16	35487412
2/19/2016	102.55	105.02	102.06	104.57	32132524
2/18/2016	105.8	106	103.03	103.47	29196933
2/17/2016	101.94	105.72	100.4	105.1992	43401268
2/16/2016	103.8	103.93	100.24	101.5	45116536
2/12/2016	103.74	104.24	101.09	102.01	35824346
2/11/2016	99.6	105.11	98.88	101.91	43060153
2/10/2016	101.55	103.25	100.24	101	44641867
2/9/2016	97.14	102.4	96.82	99.54	62494986
2/8/2016	100.41	102.68	97.46	99.75	70889940
2/5/2016	109.51	109.58	103.18	104.069	76245349
2/4/2016	111.8	111.94	109.25	110.49	38268321
2/3/2016	115.27	115.3407	109.75	112.69	56546524
2/2/2016	114.8	117.59	113.2	114.61	59281831
2/1/2016	112.27	115.72	112.01	115.03	45172787
1/29/2016	108.99	112.84	108.84	112.21	61827857
1/28/2016	107.2	110.34	104.81	109.11	106597110
1/27/2016	97.79	97.85	94.23	94.45	39939210
1/26/2016	97.76	97.88	95.66	97.34	26542431
1/25/2016	98.72	99.48	96.93	97.01	31964945
1/22/2016	96.41	98.07	95.49	97.94	30075611
1/21/2016	94.91	95.99	92.62	94.16	30293427
1/20/2016	92.83	95	89.37	94.35	58854115
1/19/2016	96.53	97.42	93.92	95.26	30476324
1/15/2016	93.98	96.38	93.54	94.88	43638821
1/14/2016	95.85	98.87	92.45	98.37	48041510
1/13/2016	100.58	100.58	95.21	95.44	33002263
1/12/2016	99	99.96	97.55	99.37	28033213
1/11/2016	97.91	98.6	95.39	97.5	29811842
1/8/2016	99.88	100.5	97.0311	97.33	35178242
1/7/2016	100.5	101.43	97.3	97.92	45172906
1/6/2016	101.13	103.77	100.9	102.97	24946117
1/5/2016	102.89	103.7099	101.665	102.73	23154233
1/4/2016	101.95	102.24	99.75	102.02	34114283
12/31/2015	106	106.17	104.62	104.66	17972611
12/30/2015	107	107.25	106.06	106.22	12998418
12/29/2015	106.42	107.74	106.25	107.26	17055434
12/28/2015	105.02	105.98	104.53	105.93	12965975
12/24/2015	104.74	105.32	104.5	105.02	6511141
12/23/2015	105.89	106.11	103.86	104.63	19107568
12/22/2015	105.22	105.6601	104.81	105.51	14340397
12/21/2015	104.91	105.15	103.6	104.783	14307112
12/18/2015	106.08	106.59	103.97	104.04	33577623
12/17/2015	107.49	107.75	106.13	106.22	21389689
12/16/2015	105.37	107.09	104.19	106.79	21811767
12/15/2015	105.3	105.8	104.28	104.55	21596319
12/14/2015	102.285	104.74	101.46	104.66	24243064
12/11/2015	104.15	104.34	101.91	102.12	26121774
12/10/2015	105.05	106.4	104.41	105.42	17297607
12/9/2015	106.18	106.44	103.55	104.6	22922858
12/8/2015	104	106.91	103.95	106.49	20312588
12/7/2015	106.48	106.83	104.66	105.61	15332336
12/4/2015	104.81	107.73	104.11	106.18	20872281
12/3/2015	106.27	106.85	103.35	104.38	23013964
12/2/2015	107	107.92	105.79	106.07	24126381
12/1/2015	104.83	107.15	104.5	107.0899	22466816
11/30/2015	105.84	106.0999	103.75	104.34	19448260
11/27/2015	105.78	105.96	104.86	105.45	5912082
11/25/2015	106.33	106.6	105.1	105.41	15097116
11/24/2015	106	106.49	104.39	105.74	23438359
11/23/2015	107.19	107.468	106.08	106.95	19710094
11/20/2015	106.84	107.87	106.62	107.32	21226719
11/19/2015	107.36	107.73	105.95	106.26	25447408
11/18/2015	105.8	107.88	105.39	107.77	23530697
11/17/2015	104.62	106.2	104.14	105.13	26638501
11/16/2015	103.32	104.17	100.47	104.04	49060571
11/13/2015	107.71	108.25	103.83	103.95	29380243
11/12/2015	108.48	109.39	108	108	20553686
11/11/2015	108.27	109.87	107.11	109.01	24937157
11/10/2015	105.96	108.15	105.24	107.91	24205415
11/9/2015	107	108.25	105.86	106.49	26220996
11/6/2015	108.04	108.74	105.91	107.107	34706554
